arm,n,acc,sd,train_loss,overfit,spikes
ftb4o,1,77.274,,2.228,0.149,0.0
a2,3,77.37,0.718,2.288,0.132,0.0
ftbclip5,3,77.593,0.546,2.225,0.164,0.0
ftbclip1,3,77.725,0.157,2.217,0.164,0.0
ftbclip01,3,77.757,0.692,2.229,0.151,0.0
ftb11is,3,77.81,0.298,2.223,0.15,0.0
r,3,78.079,0.189,2.225,0.138,0.0
ftbqmbias,3,78.131,0.168,2.245,0.128,0.0
ftbqm,3,78.159,0.117,2.247,0.137,0.0
ftbnorm,3,78.277,0.325,2.257,0.118,0.0
ftbqm1dpar,3,78.354,0.319,2.253,0.125,0.0
ftbqm1d,3,78.501,0.12,2.263,0.117,0.0
ftb1h,1,78.55,,2.214,0.15,0.0
ftb2h,1,78.654,,2.317,0.096,0.0
ftbqm1dqk,3,78.657,0.167,2.272,0.11,0.0
ftb10h,1,78.678,,2.244,0.122,0.0
ftb6h,1,78.718,,2.337,0.086,0.0
ftb11i,3,78.781,0.182,2.274,0.111,0.333
ftb9h,1,78.822,,2.247,0.123,0.0
ftb5h,1,78.842,,2.328,0.091,0.0
ftbqmln,3,78.859,0.24,2.296,0.082,0.0
ftb3h,1,78.888,,2.3,0.078,0.0
ftb8h,1,79.11,,2.25,0.122,0.0
ftb10i,1,79.11,,2.323,0.084,0.0
ftbqm1dvo,3,79.439,0.286,2.322,0.07,0.0
ftbqm1dv,3,79.478,0.36,2.325,0.065,0.0
ftb9i,1,79.488,,2.362,0.053,0.0
ftb8i,3,79.575,0.248,2.403,0.036,0.667
ftb6i,1,79.664,,2.56,0.006,3.0
ftb7h,1,79.666,,2.332,0.073,0.0
ftb5i,1,79.67,,2.596,0.005,5.0
ftbrho,3,79.686,0.298,2.271,0.095,0.0
ftb4h,1,79.688,,2.318,0.054,0.0
ftb11h,1,79.85,,2.322,0.046,0.0
ftb7i,3,79.887,0.355,2.492,0.01,1.667
ftb4i,1,79.906,,2.616,0.0,3.0
ftbcomp1,3,79.979,0.228,2.352,0.049,0.333
ftb3i,3,79.987,0.357,2.626,0.003,4.0
a1,3,79.999,0.139,2.292,0.085,0.0
ftb0h,1,80.09,,2.594,0.004,0.0
p,3,80.092,0.117,2.469,0.004,2.0
ftb4jd,3,80.108,0.041,2.64,0.001,4.333
ftbcomp25,3,80.157,0.118,2.491,0.006,3.333
ftb4e3,3,80.158,0.1,2.583,0.003,0.0
ftb2i,1,80.244,,2.595,0.001,5.0
ftb1i,3,80.373,0.123,2.563,0.001,2.333
ftbcomp11,3,80.629,0.178,2.583,0.001,2.333
