arm,seed,acc,train_loss,tl_min,tl_final,tl_min_epoch,spikes,max_jump,overfit
r,s0,78.28400255371093,2.2894200096623254,1.0523964270497814,1.159302724356001,169,0,0.011859228488248608,0.10690629730621959
r,s1,78.0400025,2.1917466472189586,1.04429343579845,1.2059361564390587,169,0,0.013345240173527007,0.1616427206406088
r,s2,77.91200233398438,2.1952257830506334,1.05088979875048,1.1964064004520576,169,0,0.011922361185917385,0.14551660170157765
p,s0,80.17400244140624,2.4807916532915373,0.9685322016929135,0.9704300151629881,249,1,0.7451617668549986,0.0018978134700745608
p,s1,80.14400268554688,2.44913734203109,0.9767588124130712,0.9823034173159888,239,2,2.066671898015417,0.005544604902917638
p,s2,79.95800248046875,2.476236165083276,0.9788285046815872,0.9845954264429483,274,3,1.258274469858943,0.005766921761361066
ftbrho,s0,80.02800237304687,2.2849212462942186,0.9531466536449663,1.0389655881533117,184,0,0.010648814818033703,0.08581893450834543
ftbrho,s1,79.48000241210937,2.2600126828496845,0.9633943395632686,1.072423743366292,184,0,0.012737331338799951,0.1090294038030234
ftbrho,s2,79.5500021875,2.2687530839242616,0.9738046630765452,1.0646775813039504,169,0,0.012701249824693672,0.09087291822740517
ftbcomp11,s0,80.73800254882812,2.5890148429749296,0.9075646612680319,0.9087627225301482,274,2,2.142432924479437,0.0011980612621163012
ftbcomp11,s1,80.4240025390625,2.5904260586039762,0.9204851007371238,0.9224945358706244,284,3,1.4484759213116307,0.0020094351335006033
ftbcomp11,s2,80.72600262695312,2.570783741843815,0.9061300249939616,0.9067000965728904,284,2,1.765755926497663,0.0005700715789288546
ftbcomp1,s0,80.18600233398438,2.3498616881358125,0.9603820603453752,1.005481143566695,179,0,0.011318477969139096,0.045099083221319836
ftbcomp1,s1,79.73400244140625,2.3515325903128357,0.9634759194697394,1.0110574939259978,199,1,0.9231085261473293,0.047581574456258324
ftbcomp1,s2,80.0180028125,2.3541793203435075,0.9545017474076964,1.0079589343883775,204,0,0.011085758057351569,0.053457186980681026
ftbqm,s0,78.09400259765626,2.234832998806945,1.0237812714820558,1.1681019877168266,164,0,0.009815258200829735,0.14432071623477083
ftbqm,s1,78.29400266601563,2.252652037041023,1.026462975437894,1.1515888992809888,159,0,0.012426646438260303,0.12512592384309484
ftbqm,s2,78.08800259277344,2.2521465590390832,1.016664877985463,1.1572964206112153,169,0,0.011957010731865392,0.14063154262575228
ftbqm1dpar,s0,77.98600249023437,2.2253726239507206,1.028002001796708,1.1756448305465959,144,0,0.01214150875472475,0.14764282874988788
ftbqm1dpar,s1,78.55800276367188,2.2430087344912,1.0150046349700652,1.1493062502281233,154,0,0.012977482177889854,0.13430161525805806
ftbqm1dpar,s2,78.51800234375,2.291566889661436,1.014567995726159,1.1078389117663556,179,0,0.012174924704222434,0.09327091604019655
ftbqm1d,s0,78.36200239746094,2.267820878348385,1.0115503041130123,1.137069828469645,179,0,0.014039545893095973,0.12551952435663272
ftbqm1d,s1,78.56800256835938,2.2662155211735993,1.011864779686386,1.1206634031100706,139,0,0.010705863125622272,0.10879862342368463
ftbqm1d,s2,78.57200251953125,2.2560311382015548,1.0166464381371483,1.132453012647051,159,0,0.011559482998190429,0.11580657450990262
ftbqm1dv,s0,79.0820025830078,2.3158828761452477,1.0027221121797056,1.0751930347672014,194,0,0.010941465635998515,0.07247092258749577
ftbqm1dv,s1,79.56600266601562,2.3353935804886694,0.9830689228168039,1.044958863294486,219,0,0.012878650894914134,0.06188994047768204
ftbqm1dv,s2,79.7860025,2.3238940155850005,0.9838695336471904,1.0433192226019772,209,0,0.01189321150573397,0.05944968895478675
ftbqm1dqk,s0,78.48800231933593,2.256408251523494,1.008739278623552,1.1428533533983158,149,0,0.009792575493264177,0.13411407477476378
ftbqm1dqk,s1,78.82200241210937,2.2897113372858326,1.0070798007602042,1.0979143337092616,184,0,0.010989046763055565,0.09083453294905741
ftbqm1dqk,s2,78.66000250488281,2.269647831825587,1.0179448508177742,1.1231431676582857,149,0,0.015212548896670341,0.10519831684051151
ftbqm1dvo,s0,79.1620023828125,2.311393201709367,0.9892668445227724,1.0798721873398982,189,0,0.010462449839673038,0.09060534281712584
ftbqm1dvo,s1,79.42200268554687,2.331901104631237,0.9882652470559785,1.0503973490135237,214,0,0.009797056623471967,0.06213210195754515
ftbqm1dvo,s2,79.73400264648437,2.3219246331912777,0.977515863085335,1.0337594377272057,204,0,0.009209196692189447,0.056243574641870686
ftbqmln,s0,78.684002734375,2.2998325975062563,1.022894230078567,1.1094834937742262,194,0,0.011046635261617421,0.08658926369565911
ftbqmln,s1,78.76000247558594,2.301193081929038,1.0134466013899355,1.0959432103642912,194,0,0.012268374841182705,0.08249660897435573
ftbqmln,s2,79.13200250976563,2.2883585991505058,1.0103276751258157,1.0862800565858681,179,0,0.010457481878499042,0.07595238146005245
ftbqmbias,s0,77.95200243652344,2.2491247759391673,1.0376159771148004,1.1671397039158777,159,0,0.1581496865225911,0.12952372680107738
ftbqmbias,s1,78.15800259277344,2.242206469572221,1.0319424475910086,1.1512384634803643,169,0,0.0107505884475243,0.11929601588935568
ftbqmbias,s2,78.28400284667968,2.2443128710803695,1.020774991561969,1.1555653264125187,164,0,0.1672229027996459,0.1347903348505497
ftb4o,s0,77.27400250488282,2.2283000255552814,1.077460313949621,1.2269281574496718,164,0,0.011474352556829714,0.1494678435000507
ftbnorm,s0,77.90200263183594,2.2622118072990234,1.040197503611897,1.159889861264012,174,0,0.010479874395502797,0.11969235765211517
ftbnorm,s1,78.47800249023437,2.2502790860091455,1.0112717816549721,1.1346600318722653,159,0,0.011872527177613001,0.12338825021729316
ftbnorm,s2,78.45000244628906,2.2590696216584782,1.0232583870264618,1.134100025124622,169,0,0.15260434528000832,0.11084163809816028
ftb4e3,s0,80.248002421875,2.573415509962405,0.9433449717859427,0.9450451994709896,274,0,0.009012289524364725,0.0017002276850469622
ftb4e3,s1,80.17600254882812,2.5873903563747613,0.9442462327353882,0.9467992842423193,284,0,0.01730823976536966,0.002553051506931081
ftb4e3,s2,80.05000237304688,2.5895069326656177,0.961598230582295,0.9651373647379152,279,0,0.011972842809672812,0.0035391341556202383
ftb3i,s0,79.96600248046875,2.6185598442068274,0.9401405843144114,0.9416662783107974,284,4,2.9011147396686745,0.0015256939963860239
ftb3i,s1,80.35400249023438,2.549932195805013,0.9512428076881351,0.9545375810879649,254,4,2.8750874408496876,0.0032947733998298645
ftb3i,s2,79.64000254882812,2.709249149578122,0.9519855231046677,0.9555448572518248,279,4,2.351293051448197,0.003559334147157145
ftb11i,s0,78.85800259277343,2.271810361566261,0.9885461331542694,1.1046129354473315,179,0,0.05913311455589865,0.1160668022930621
ftb11i,s1,78.91200235351563,2.284594912392398,1.002903581342914,1.0951894696689013,184,1,0.5495246957318911,0.09228588832598739
ftb11i,s2,78.57400256347657,2.2657748128000934,0.9965495476216981,1.120289464452953,169,0,0.0115922269268105,0.12373991683125496
ftb11is,s0,78.05600247070312,2.224115870654201,1.040686956409252,1.1830471095939477,159,0,0.010232578772000789,0.14236015318469564
ftb11is,s1,77.47800263671876,2.2233502217568457,1.059509101464893,1.208611357618462,169,0,0.014215610766162623,0.1491022561535691
ftb11is,s2,77.89600229492187,2.222102384811315,1.0452780275408067,1.2025313775873545,169,0,0.011661779147405849,0.15725335004654784
ftb1i,s0,80.50000267578125,2.5796380926831026,0.9299233649490457,0.9299233649490457,299,3,2.6858567093284087,0.0
ftb1i,s1,80.25400239257813,2.5496443456205995,0.9488471399879816,0.9498224617405371,254,2,0.7751652699393725,0.0009753217525554359
ftb1i,s2,80.36400264160156,2.5586227653906324,0.9474257388801286,0.94818960209236,294,2,1.5773117787753925,0.0007638632122314304
ftb7i,s0,80.28800258789063,2.495647539098102,0.9557440146578081,0.9622323069382798,269,1,0.7664740651559376,0.0064882922804716525
